Challenges_16,ResponsesBinary_16,ChallengeDecimal,ResponseDecimal
0000000001011111,1110011001101001,95,58985
0000000001100000,0010101111100001,96,11233
0000000001100001,1011001110100011,97,45987
0000000001100010,1001000001110101,98,36981
0000000001100011,0111000101111011,99,29051
0000000001100100,1111001001111011,100,62075
0000000001100101,1011111100100110,101,48934
0000000001100110,0110010000001110,102,25614
0000000001100111,0110010111101010,103,26090
0000000001101000,1010011111111100,104,43004
0000000001101001,1001011001100010,105,38498
0000000001101010,1101000000011000,106,53272
0000000001101011,1010010110011000,107,42392
0000000001101100,0001111010111000,108,7864
0000000001101101,0100000110001110,109,16782
0000000001101110,0000001100110010,110,818
0000000001101111,1010001011000110,111,41670
0000000001110000,1001110000000101,112,39941
0000000001110001,0110001001010001,113,25169
0000000001110010,0011100110001111,114,14735
0000000001110011,0110010000101001,115,25641
0000000001110100,1101100010001010,116,55434
0000000001110101,1010011011011010,117,42714
0000000001110110,0010011010111011,118,9915
0000000001110111,1100000111001011,119,49611
0000000001111000,0001010001110100,120,5236
0000000001111001,1111100000111011,121,63547
0000000001111010,0010000000010111,122,8215
0000000001111011,0111100101111001,123,31097
0000000001111100,1010001111000010,124,41922
0000000001111101,1001101101001101,125,39757
0000000001111110,1100111010110110,126,52918
0000000001111111,0011110001101100,127,15468
0000000010000000,0010011100001111,128,9999
0000000010000001,0010111000110000,129,11824
0000000010000010,0111101100100010,130,31522
0000000010000011,0101011001000111,131,22087
0000000010000100,1111110101011111,132,64863
0000000010000101,0110111110001011,133,28555
0000000010000110,1010111000000000,134,44544
0000000010000111,1100111000010101,135,52757
0000000010001000,0101111011110010,136,24306
0000000010001001,0100110011101101,137,19693
0000000010001010,0110000001011111,138,24671
0000000010001011,0100011101001001,139,18249
0000000010001100,0010111011111111,140,12031
0000000010001101,1011110100001100,141,48396
0000000010001110,0110010011101111,142,25839
0000000010001111,1101111001110010,143,56946
0000000010010000,0001010000100110,144,5158
0000000010010001,0010111001000000,145,11840
0000000010010010,0101101100011001,146,23321
0000000010010011,1011110101000100,147,48452
0000000010010100,1100110110000100,148,52612
0000000010010101,1011010001011100,149,46172
0000000010010110,0101001100101010,150,21290
0000000010010111,0100100010011010,151,18586
0000000010011000,0000111110111000,152,4024
0000000010011001,0000010111100001,153,1505
0000000010011010,0001111100111000,154,7992
0000000010011011,0100001110111001,155,17337
0000000010011100,0111101100111001,156,31545
0000000010011101,1111110100010011,157,64787
0000000010011110,0000011011100110,158,1766
0000000010011111,1010001011000101,159,41669
0000000010100000,0110000011000000,160,24768
0000000010100001,0011110110100011,161,15779
0000000010100010,1111010000001001,162,62473
0000000010100011,0110100100111000,163,26936
0000000010100100,0001000111001001,164,4553
0000000010100101,1001100010110000,165,39088
0000000010100110,0011001000001000,166,12808
0000000010100111,1001010110100101,167,38309
0000000010101000,1110000000110000,168,57392
0000000010101001,0100001001110100,169,17012
0000000010101010,0111001100000011,170,29443
0000000010101011,1100000000111000,171,49208
0000000010101100,0110010010000100,172,25732
0000000010101101,1110111101011100,173,61276
0000000010101110,1000011010110100,174,34484
0000000010101111,1111101111001111,175,64463
0000000010110000,1101110001110110,176,56438
0000000010110001,1001001011111000,177,37624
0000000010110010,1111110011000101,178,64709
0000000010110011,0101110101111011,179,23931
0000000010110100,1001101110110110,180,39862
0000000010110101,1111011001001100,181,63052
0000000010110110,1001101001110111,182,39543
0000000010110111,0111011011110101,183,30453
0000000010111000,0110001000111101,184,25149
0000000010111001,0110111110001101,185,28557
0000000010111010,0000111101010110,186,3926
0000000010111011,1010101001100011,187,43619
0000000010111100,0101011110010000,188,22416
0000000010111101,1111100110100111,189,63911
0000000010111110,0001010011000001,190,5313
0000000010111111,1000101111100110,191,35814
0000000011000000,1101110011011001,192,56537
0000000011000001,0100101010101110,193,19118
0000000011000010,0011100001010101,194,14421
0000000011000011,1111010000001110,195,62478
0000000011000100,0100100001100011,196,18531
0000000011000101,1111000101101110,197,61806
0000000011000110,1101000111010111,198,53719
0000000011000111,0111001100111101,199,29501
0000000011001000,0001111011110010,200,7922
0000000011001001,1101000001001000,201,53320
0000000011001010,0000011100110010,202,1842
0000000011001011,1111001000011111,203,61983
0000000011001100,0101000000111110,204,20542
0000000011001101,0001111101101110,205,8046
0000000011001110,0011100101000100,206,14660
0000000011001111,1000001010110000,207,33456
0000000011010000,1001011101101101,208,38765
0000000011010001,1111111000010010,209,65042
0000000011010010,1100101000101001,210,51753
0000000011010011,1101001101110011,211,54131
0000000011010100,0001010100101101,212,5421
0000000011010101,1111010100001010,213,62730
0000000011010110,1110101010010101,214,60053
0000000011010111,1100110100100001,215,52513
0000000011011000,1001000110001110,216,37262
0000000011011001,0100001111100000,217,17376
0000000011011010,1100111100101111,218,53039
0000000011011011,0010000010101000,219,8360
0000000011011100,0001001100011000,220,4888
0000000011011101,1001110111101000,221,40424
0000000011011110,1010010111110001,222,42481
0000000011011111,0110101100110000,223,27440
0000000011100000,1110101000001110,224,59918
0000000011100001,0011110010110101,225,15541
0000000011100010,0011000101111010,226,12666
0000000011100011,1001100100100100,227,39204
0000000011100100,0001001111100100,228,5092
0000000011100101,0110010011101111,229,25839
0000000011100110,0001000011000101,230,4293
0000000011100111,1100011011101011,231,50923
0000000011101000,0011100100000101,232,14597
0000000011101001,0111111101000010,233,32578
0000000011101010,0110010000101101,234,25645
0000000011101011,0110011110110111,235,26551
0000000011101100,1000100000101011,236,34859
0000000011101101,0000001111010110,237,982
0000000011101110,0011010111001001,238,13769
0000000011101111,0001110111100011,239,7651
0000000011110000,0000111111011010,240,4058
0000000011110001,0010001101100110,241,9062
0000000011110010,1111100010100011,242,63651
0000000011110011,0110001100110100,243,25396
0000000011110100,0101101010011101,244,23197
0000000011110101,0001111101101011,245,8043
0000000011110110,0101010011100100,246,21732
0000000011110111,0110111000011011,247,28187
0000000011111000,1101000110001111,248,53647
0000000011111001,1001010110111000,249,38328
0000000011111010,0111111001000100,250,32324
0000000011111011,0101010111111011,251,22011
0000000011111100,0100011100110111,252,18231
0000000011111101,1011011110100110,253,47014
0000000011111110,1001110110011011,254,40347
0000000011111111,1110111011101101,255,61165
